date_aaaammjj;menutypeplat;plat;specificites;repas
2020-12-10;Dessert;DESSERT FRUIT Po DE SAISON BIO ANNUEL 1;Produit Agriculture Biologique;DEJEUNER
2020-12-11;Légumes;EPINARDS BIO A LA VACHE QUI RIT;Produit Agriculture Biologique;DEJEUNER
2020-12-15;Plat;GRATIN POMME DE TERRE REBLOCHON - PLAT COMPLET ALTERNATIF PA;;DEJEUNER
2020-12-15;Légumes;HARICOTS VERTS BIO PERSILLES;Produit Agriculture Biologique;DEJEUNER
2020-12-15;Dessert;DESSERT FRUIT Po DE SAISON BIO ANNUEL 1;Produit Agriculture Biologique;DEJEUNER
2020-12-18;Légumes;POELEE RATATOUILLE GNOCCHI;;DEJEUNER
2020-12-18;Dessert;COMPOTE POMME/POIRE BIO/BISCUIT PETIT BEURRE;Produit Agriculture Biologique;DEJEUNER
2021-01-04;Fromage;FROMAGE CANTAL AOP;Haute Qualité Alimentaire;DEJEUNER
2021-01-05;Entrée;BETTERAVE DES AU MAIS;;DEJEUNER
2021-01-05;Plat;NUGGETS POISSON ET CITRON;;DEJEUNER
2021-01-05;Dessert;GLACE SUNDAE VANILLE/FRAISE;;DEJEUNER
2021-01-07;Plat;BOEUF BIO FACON GARDIANE;Produit Agriculture Biologique;DEJEUNER
2021-01-07;Légumes;RIZ DE CAMARGUE PILAF;Haute Qualité Alimentaire;DEJEUNER
2021-01-08;Plat;SAUCISSE AUX HERBES A GRILLER A/PORC HQA;Haute Qualité Alimentaire;DEJEUNER
2021-01-11;Fromage;FROMAGE EMMENTAL BIO IND;Produit Agriculture Biologique;DEJEUNER
2021-01-12;Entrée;SOUPE DE LEGUMES UPC;Haute Qualité Alimentaire;DEJEUNER
2021-01-14;Entrée;SAMOUSSA;;DEJEUNER
2021-01-14;Entrée;TAPENADE LEGUMES HIVER UPC;Haute Qualité Alimentaire;DEJEUNER
2021-01-14;Plat;ASSIETTE ORIENTALE ET SA SEMOULE BIO - COMPLET ALTERNATIF PV;;DEJEUNER
2021-01-15;Plat;ESCALOPE POULET BBC A GRILLER SAUCE FORESTIERE;;DEJEUNER
2021-01-15;Plat;NAVARIN DE MOUTON PROVENCAL;Haute Qualité Alimentaire;DEJEUNER
2021-01-15;Fromage;FROMAGE PETIT LOUIS COQUE IND;;DEJEUNER
2021-01-15;Dessert;LIEGEOIS BIO SAVEUR CHOCOLAT IND;Produit Agriculture Biologique;DEJEUNER
2021-01-18;Dessert;DESSERT FRUIT Po DE SAISON BIO ANNUEL 2;Produit Agriculture Biologique;DEJEUNER
2021-01-19;Entrée;NEMS SUR SALADE;;DEJEUNER
